cod_institucion;nom_institucion;res_acreditacion;nom_programa;metodologia
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN FARMACOLOGIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;ESPECIALIZACION EN ESTADISTICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;2392;MAESTRIA EN SALUD O PRODUCCION ANIMAL;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;MAESTRIA EN GENETICA HUMANA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;MAESTRIA EN SALUD PUBLICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;9814;MAESTRIA EN ENFERMERIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;2447;MAESTRÍA EN SOCIOLOGÍA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;3245;MAESTRIA EN HISTORIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;15257;MAESTRIA EN FILOSOFIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;MAESTRIA EN LINGUISTICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;MAESTRIA EN INGENIERIA - INGENIERIA DE SISTEMAS Y COMPUTACION;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;MAESTRIA EN INGENIERIA - INGENIERIA ELECTRICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;5783;MAESTRÍA EN INGENIERÍA - INGENIERÍA QUÍMICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;MAESTRIA EN INGENIERIA - TRANSPORTES;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;MAESTRIA EN INGENIERIA - INGENIERIA DE MATERIALES Y PROCESOS;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;1971;MAESTRÍA EN INGENIERÍA - RECURSOS HIDRÁULICOS;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;7123;MAESTRÍA EN INGENIERÍA - GEOTECNIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;16211;MAESTRIA EN INGENIERIA - ESTRUCTURAS;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;MAESTRIA EN HISTORIA Y TEORIA DEL ARTE Y  LA ARQUITECTURA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;7729;MAESTRIA EN URBANISMO;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;16173;MAESTRIA EN CIENCIAS - ESTADISTICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;2443;MAESTRÍA EN CIENCIAS - FÍSICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;29150;MAESTRIA EN CIENCIAS -  MICROBIOLOGIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;2449;MAESTRIA EN CIENCIAS - MATEMATICAS;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;2445;MAESTRIA EN CIENCIAS - QUIMICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;2444;MAESTRIA EN CIENCIAS - FARMACOLOGIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;3232;DOCTORADO EN FILOSOFIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;;DOCTORADO EN CIENCIAS - QUIMICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;4612;DOCTORADO EN CIENCIAS - FISICA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;16219;MAESTRIA EN CIENCIAS - BIOLOGIA;Presencial
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;12325;ARTES PLASTICAS;Presencial
